-42	-63	-30
-42	-49	-30
-14	-63	-16
-42	-63	-16
-56	-63	-16
-42	-49	-16
-56	-49	-16
-56	-21	-16
-56	-7	-16
-56	7	-16
-42	35	-16
-42	-77	-2
-56	-49	-2
-56	-35	-2
-56	-21	-2
-28	-7	-2
-56	7	-2
-42	21	-2
-42	35	-2
-56	-49	12
-56	-35	12
-56	-7	12
-42	7	12
-56	7	12
-56	21	12
-42	35	12
-42	-49	26
-56	-7	26
-42	7	26
-56	7	26
-56	21	26
-28	-63	40
-42	-49	40
-56	-35	40
-42	-7	40
-56	-7	40
-42	7	40
-42	21	40
-42	-21	54
-28	-7	54
-42	-7	54
-28	7	54
-42	7	54
-14	-7	68
-14	7	68
0	7	40
0	-7	54
0	7	54
0	21	54
0	-7	68
28	-63	-30
42	35	-16
56	-35	-2
56	-21	-2
56	7	-2
28	21	-2
42	21	-2
42	-21	12
56	7	12
56	21	12
56	7	26
42	-7	40
56	-7	40
42	-21	54
42	-7	54
28	-21	68
